,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Country,Date,Cloudiness,Hotel Name
0,0,cidreira,-30.1811,-50.2056,81.93,58,9.57,BR,1645373554,0,Willoughby Arms Ltd
1,1,port alfred,-33.5906,26.891,73.44,67,19.57,ZA,1645373554,4,Willoughby Arms Ltd
2,2,rikitea,-23.1203,-134.9692,77.47,74,9.46,PF,1645373508,20,Willoughby Arms Ltd
3,3,saldanha,-33.0117,17.9442,66.02,78,11.59,ZA,1645373554,15,Willoughby Arms Ltd
6,6,hobart,-42.8794,147.3294,52.88,56,16.11,AU,1645373300,28,Willoughby Arms Ltd
11,11,roma,43.2128,-75.4557,24.44,56,11.5,US,1645373524,40,Willoughby Arms Ltd
12,12,albany,42.6001,-73.9662,21.24,56,3.0,US,1645373499,33,Willoughby Arms Ltd
13,13,atuona,-9.8,-139.0333,77.88,75,17.85,PF,1645373557,38,Willoughby Arms Ltd
17,17,bekhteyevka,50.8072,37.2085,36.5,96,5.61,RU,1645373558,43,Willoughby Arms Ltd
20,20,avarua,-21.2078,-159.775,77.05,88,8.05,CK,1645373559,20,Willoughby Arms Ltd
23,23,hermanus,-34.4187,19.2345,70.81,75,13.22,ZA,1645373560,0,Willoughby Arms Ltd
25,25,maputo,-25.9653,32.5892,82.22,79,4.0,MZ,1645373561,4,Willoughby Arms Ltd
27,27,cape town,-33.9258,18.4232,76.15,60,3.0,ZA,1645373278,1,Willoughby Arms Ltd
28,28,am timan,11.0297,20.2827,93.33,9,7.0,TD,1645373562,42,Willoughby Arms Ltd
29,29,the valley,18.217,-63.0578,84.06,73,16.6,AI,1645373562,44,Willoughby Arms Ltd
30,30,hilo,19.7297,-155.09,65.97,77,5.75,US,1645373488,0,Willoughby Arms Ltd
31,31,hamilton,39.1834,-84.5333,41.34,40,13.8,US,1645373529,0,Willoughby Arms Ltd
34,34,vaini,-21.2,-175.2,77.16,100,4.61,TO,1645373563,20,Willoughby Arms Ltd
38,38,ushuaia,-54.8,-68.3,54.28,44,1.1,AR,1645373565,15,Willoughby Arms Ltd
39,39,laramie,41.3114,-105.5911,35.19,35,17.27,US,1645373565,0,Willoughby Arms Ltd
42,42,lebu,-37.6167,-73.65,62.58,66,7.52,CL,1645373566,2,Willoughby Arms Ltd
44,44,bowen,-20.0167,148.2333,76.86,85,10.89,AU,1645373567,26,Willoughby Arms Ltd
45,45,sitka,57.0531,-135.33,33.69,93,0.0,US,1645373627,20,Willoughby Arms Ltd
46,46,barrow,71.2906,-156.7887,-29.18,99,10.36,US,1645373628,0,Willoughby Arms Ltd
49,49,lincoln,40.8,-96.667,50.79,40,13.8,US,1645373336,0,Willoughby Arms Ltd
52,52,tucuman,-26.8241,-65.2226,82.4,57,4.61,AR,1645373629,20,Willoughby Arms Ltd
54,54,komsomolskiy,40.4272,71.7189,41.72,52,4.61,UZ,1645373630,5,Willoughby Arms Ltd
55,55,dobson,36.3957,-80.7226,39.47,31,4.61,US,1645373630,0,Willoughby Arms Ltd
57,57,havre-saint-pierre,50.2334,-63.5986,12.25,67,9.01,CA,1645373631,41,Willoughby Arms Ltd
59,59,thompson,55.7435,-97.8558,-27.8,87,9.73,CA,1645373631,6,Willoughby Arms Ltd
60,60,nicoya,10.1483,-85.45200000000001,89.2,31,15.1,CR,1645373632,11,Willoughby Arms Ltd
66,66,longyearbyen,78.2186,15.6401,-0.56,71,13.8,SJ,1645373634,20,Willoughby Arms Ltd
69,69,kapaa,22.0752,-159.319,63.45,72,6.91,US,1645373635,0,Willoughby Arms Ltd
71,71,alofi,-19.0595,-169.9187,81.7,74,10.18,NU,1645373636,19,Willoughby Arms Ltd
72,72,tabou,4.423,-7.3528,83.62,70,8.68,CI,1645373636,23,Willoughby Arms Ltd
75,75,castro,-24.7911,-50.0119,80.74,43,4.47,BR,1645373637,6,Willoughby Arms Ltd
76,76,tautira,-17.7333,-149.15,75.22,78,17.56,PF,1645373637,41,Willoughby Arms Ltd
85,85,newtownards,54.5924,-5.6909,42.55,76,18.41,GB,1645373640,40,Willoughby Arms Ltd
89,89,dali,25.7,100.1833,46.11,56,5.35,CN,1645373641,40,Willoughby Arms Ltd
