,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Country,Date,Cloudiness
0,cidreira,-30.1811,-50.2056,81.93,58,9.57,BR,1645373554,0
1,port alfred,-33.5906,26.891,73.44,67,19.57,ZA,1645373554,4
2,rikitea,-23.1203,-134.9692,77.47,74,9.46,PF,1645373508,20
3,saldanha,-33.0117,17.9442,66.02,78,11.59,ZA,1645373554,15
4,katsuura,35.1333,140.3,37.98,48,23.04,JP,1645373555,99
5,carnarvon,-24.8667,113.6333,84.27,65,11.5,AU,1645373555,85
6,hobart,-42.8794,147.3294,52.88,56,16.11,AU,1645373300,28
7,dikson,73.5069,80.5464,20.14,95,16.28,RU,1645373556,100
8,mahebourg,-20.4081,57.7,81.25,86,29.82,MU,1645373556,100
9,shasta lake,40.6804,-122.3708,48.7,51,2.26,US,1645373556,100
10,clyde river,70.4692,-68.5914,-5.57,77,9.22,CA,1645373517,100
11,roma,43.2128,-75.4557,24.44,56,11.5,US,1645373524,40
12,albany,42.6001,-73.9662,21.24,56,3.0,US,1645373499,33
13,atuona,-9.8,-139.0333,77.88,75,17.85,PF,1645373557,38
14,esperance,-33.8667,121.9,62.51,70,13.35,AU,1645373557,94
15,bad sachsa,51.595,10.5555,45.16,95,1.01,DE,1645373558,100
16,dunedin,-45.8742,170.5036,58.8,81,8.01,NZ,1645373454,54
17,bekhteyevka,50.8072,37.2085,36.5,96,5.61,RU,1645373558,43
18,saskylakh,71.9167,114.0833,-20.99,100,6.4,RU,1645373532,87
19,mataura,-46.1927,168.8643,46.47,97,2.24,NZ,1645373559,59
20,avarua,-21.2078,-159.775,77.05,88,8.05,CK,1645373559,20
21,marsa matruh,31.3525,27.2453,61.11,57,5.41,EG,1645373559,77
22,namibe,-15.1961,12.1522,78.01,76,11.07,AO,1645373560,84
23,hermanus,-34.4187,19.2345,70.81,75,13.22,ZA,1645373560,0
24,mount isa,-20.7333,139.5,73.17,56,2.3,AU,1645373382,75
25,maputo,-25.9653,32.5892,82.22,79,4.0,MZ,1645373561,4
26,nacala,-14.5428,40.6728,80.2,85,3.89,MZ,1645373561,74
27,cape town,-33.9258,18.4232,76.15,60,3.0,ZA,1645373278,1
28,am timan,11.0297,20.2827,93.33,9,7.0,TD,1645373562,42
29,the valley,18.217,-63.0578,84.06,73,16.6,AI,1645373562,44
30,hilo,19.7297,-155.09,65.97,77,5.75,US,1645373488,0
31,hamilton,39.1834,-84.5333,41.34,40,13.8,US,1645373529,0
32,athabasca,54.7169,-113.2854,-4.94,92,6.8,CA,1645373563,100
33,rio gallegos,-51.6226,-69.2181,52.54,52,10.2,AR,1645373563,99
34,vaini,-21.2,-175.2,77.16,100,4.61,TO,1645373563,20
35,palmer,42.1584,-72.3287,22.82,39,4.61,US,1645373564,75
36,rafina,38.0181,24.006,59.04,76,3.44,GR,1645373564,75
37,saint-philippe,-21.3585,55.7679,80.87,91,26.13,RE,1645373564,100
38,ushuaia,-54.8,-68.3,54.28,44,1.1,AR,1645373565,15
39,laramie,41.3114,-105.5911,35.19,35,17.27,US,1645373565,0
40,petropavlovsk-kamchatskiy,53.0452,158.6483,9.52,90,4.68,RU,1645373565,69
41,busselton,-33.65,115.3333,65.05,64,16.04,AU,1645373566,80
42,lebu,-37.6167,-73.65,62.58,66,7.52,CL,1645373566,2
43,rundu,-17.9333,19.7667,80.67,46,2.51,NA,1645373567,97
44,bowen,-20.0167,148.2333,76.86,85,10.89,AU,1645373567,26
45,sitka,57.0531,-135.33,33.69,93,0.0,US,1645373627,20
46,barrow,71.2906,-156.7887,-29.18,99,10.36,US,1645373628,0
47,tuatapere,-46.1333,167.6833,46.81,93,3.69,NZ,1645373628,87
48,chalmette,29.9427,-89.9634,60.53,61,13.8,US,1645373628,75
49,lincoln,40.8,-96.667,50.79,40,13.8,US,1645373336,0
50,pevek,69.7008,170.3133,-39.03,100,4.79,RU,1645373379,91
51,nome,64.5011,-165.4064,8.65,61,11.5,US,1645373391,100
52,tucuman,-26.8241,-65.2226,82.4,57,4.61,AR,1645373629,20
53,fort nelson,58.8053,-122.7002,-5.15,99,2.98,CA,1645373629,100
54,komsomolskiy,40.4272,71.7189,41.72,52,4.61,UZ,1645373630,5
55,dobson,36.3957,-80.7226,39.47,31,4.61,US,1645373630,0
56,victoria,22.2855,114.1577,47.16,92,11.99,HK,1645373630,100
57,havre-saint-pierre,50.2334,-63.5986,12.25,67,9.01,CA,1645373631,41
58,aragarcas,-15.8975,-52.2508,72.72,94,7.0,BR,1645373631,100
59,thompson,55.7435,-97.8558,-27.8,87,9.73,CA,1645373631,6
60,nicoya,10.1483,-85.452,89.2,31,15.1,CR,1645373632,11
61,chokurdakh,70.6333,147.9167,-40.77,100,2.93,RU,1645373632,53
62,naze,28.3667,129.4833,49.42,61,19.62,JP,1645373633,100
63,nikolskoye,59.7035,30.7861,31.1,96,4.7,RU,1645373633,99
64,ustka,54.5805,16.8619,38.59,81,16.28,PL,1645373633,88
65,hasaki,35.7333,140.8333,36.0,45,23.64,JP,1645373634,70
66,longyearbyen,78.2186,15.6401,-0.56,71,13.8,SJ,1645373634,20
67,tiksi,71.6872,128.8694,-1.77,86,12.06,RU,1645373634,98
68,tshikapa,-6.4167,20.8,81.55,75,2.44,CD,1645373635,88
69,kapaa,22.0752,-159.319,63.45,72,6.91,US,1645373635,0
70,punta arenas,-53.15,-70.9167,50.11,81,8.05,CL,1645373373,75
71,alofi,-19.0595,-169.9187,81.7,74,10.18,NU,1645373636,19
72,tabou,4.423,-7.3528,83.62,70,8.68,CI,1645373636,23
73,port moresby,-9.4431,147.1797,75.02,92,5.46,PG,1645373373,100
74,port hedland,-20.3167,118.5667,82.45,89,8.05,AU,1645373636,80
75,castro,-24.7911,-50.0119,80.74,43,4.47,BR,1645373637,6
76,tautira,-17.7333,-149.15,75.22,78,17.56,PF,1645373637,41
77,lompoc,34.6391,-120.4579,45.72,100,4.61,US,1645373481,100
78,tasiilaq,65.6145,-37.6368,21.36,73,6.98,GL,1645373638,100
79,kenai,60.5544,-151.2583,23.05,93,6.91,US,1645373638,100
80,katherine,-14.4667,132.2667,80.92,74,0.0,AU,1645373407,95
81,yangambi,0.8102,24.4336,77.5,73,3.96,CD,1645373638,99
82,bluff,-46.6,168.3333,46.8,85,5.99,NZ,1645373639,60
83,kautokeino,69.0125,23.0412,1.51,100,4.14,NO,1645373639,100
84,haines junction,60.7522,-137.5108,1.4,99,1.25,CA,1645373639,100
85,newtownards,54.5924,-5.6909,42.55,76,18.41,GB,1645373640,40
86,yar-sale,66.8333,70.8333,21.69,94,14.92,RU,1645373640,95
87,qaanaaq,77.484,-69.3632,-0.6,46,9.17,GL,1645373640,82
88,sambava,-14.2667,50.1667,79.83,82,6.38,MG,1645373641,100
89,dali,25.7,100.1833,46.11,56,5.35,CN,1645373641,40
90,magaria,12.9983,8.9099,85.39,8,15.66,NE,1645373642,2
91,ginir,7.1333,40.7,71.87,25,4.07,ET,1645373642,44
92,souillac,-20.5167,57.5167,82.78,83,31.07,MU,1645373702,100
93,turkistan,43.0,68.0,48.74,46,7.92,KZ,1645373339,11
94,narsaq,60.9167,-46.05,5.41,74,2.59,GL,1645373450,7
95,atlantic city,39.3643,-74.4229,31.01,38,3.44,US,1645373703,0
96,butaritari,3.0707,172.7902,81.5,79,21.05,KI,1645373704,99
97,soure,-0.7167,-48.5233,83.62,70,7.27,BR,1645373594,96
98,russell,32.3502,-85.1999,54.34,36,4.61,US,1645373704,0
99,tvoroyri,61.5556,-6.8111,42.19,74,28.25,FO,1645373705,96
100,kavaratti,10.5669,72.642,81.57,67,4.43,IN,1645373705,7
101,puerto ayora,-0.7393,-90.3518,80.55,88,8.01,EC,1645373705,62
102,nouakchott,18.0858,-15.9785,91.33,29,10.4,MR,1645373706,20
103,dolgoye,52.8,37.2167,25.65,92,8.32,RU,1645373706,26
104,klaksvik,62.2266,-6.589,41.92,78,24.4,FO,1645373706,97
105,nanortalik,60.1432,-45.2371,15.53,56,19.82,GL,1645373707,33
106,sungaipenuh,-2.0833,101.3833,65.41,93,2.86,ID,1645373707,100
107,jalingo,8.8833,11.3667,95.63,10,8.86,NG,1645373707,93
108,tikaitnagar,26.95,81.5833,59.14,50,3.36,IN,1645373708,0
109,salalah,17.0151,54.0924,75.29,69,6.91,OM,1645373614,20
110,barkhan,29.8977,69.5256,62.49,23,11.54,PK,1645373708,0
111,makakilo city,21.3469,-158.0858,68.74,79,8.05,US,1645373521,0
112,kodiak,57.79,-152.4072,33.31,86,4.61,US,1645373709,0
113,salinopolis,-0.6136,-47.3561,84.87,66,8.23,BR,1645373709,37
114,makat,47.6469,53.3463,38.08,81,11.05,KZ,1645373710,100
115,buala,-8.145,159.5921,80.37,83,4.09,SB,1645373710,100
116,airai,-8.9266,125.4092,60.3,89,1.34,TL,1645373710,100
117,hithadhoo,-0.6,73.0833,82.24,69,4.25,MV,1645373711,76
118,lorengau,-2.0226,147.2712,79.2,83,3.15,PG,1645373711,73
119,caravelas,-17.7125,-39.2481,86.65,52,10.67,BR,1645373711,99
120,champerico,14.3,-91.9167,88.38,57,4.09,GT,1645373712,3
121,kavieng,-2.5744,150.7967,82.26,79,10.13,PG,1645373712,62
122,virginia beach,36.8529,-75.978,38.71,43,4.61,US,1645373712,20
123,severo-kurilsk,50.6789,156.125,28.8,85,18.43,RU,1645373713,70
124,sorland,67.667,12.6934,30.06,65,14.94,NO,1645373713,100
125,puerto el triunfo,13.2833,-88.55,89.69,39,4.92,SV,1645373713,5
126,visby,57.6409,18.296,30.42,86,6.91,SE,1645373714,0
127,bengkulu,-3.8004,102.2655,77.61,86,3.94,ID,1645373714,100
128,caldas novas,-17.7417,-48.625,69.94,91,4.76,BR,1645373715,100
129,hellvik,59.9156,5.781,36.84,88,11.7,NO,1645373715,100
130,beyneu,45.3167,55.2,45.39,49,6.89,KZ,1645373715,7
131,egvekinot,66.3167,-179.1667,-24.57,87,11.74,RU,1645373716,10
132,qingdao,36.0986,120.3719,26.2,80,4.47,CN,1645373716,0
133,fayetteville,35.0527,-78.8784,43.95,30,9.22,US,1645373457,0
134,arman,59.7,150.1667,-17.99,85,8.28,RU,1645373716,56
135,chuy,-33.6971,-53.4616,84.6,46,7.83,UY,1645373717,62
136,nishihara,26.1842,127.7558,54.91,67,19.57,JP,1645373717,100
137,barentu,15.1139,37.5928,72.25,32,17.63,ER,1645373717,56
138,wadsworth,41.0256,-81.7299,32.43,53,8.99,US,1645373718,51
139,nuuk,64.1835,-51.7216,9.21,85,3.44,GL,1645373718,75
140,khatanga,71.9667,102.5,11.71,95,8.95,RU,1645373718,100
141,manta,-0.95,-80.7333,78.93,73,3.76,EC,1645373556,100
